ADM2_NAME,ADM2_CODE,Month,Year,EVI_mean,LAI_mean,FPAR_mean,LST_Kelvin_mean,Soil_Moisture_mm_mean,FPAR_count
Barisal,5762,2,2022,-358.0327379418122,-1696.885856833899,-1752.9747395131901,297.75295280329294,6.291647068414293,11525
Bhola,5763,2,2022,-1133.4650694634852,-3376.9114716725135,-3395.8781815670627,153.58243627052434,3.793952048311503,10539
Jhalokati,5764,2,2022,0.28351049724863275,-261.4467905975329,-283.63775367921045,298.56955493267816,5.1320838295756035,3490
Patuakhali,5765,2,2022,-90.02660646871992,-1015.4040993458449,-1017.5195909475519,257.82920387135243,11.892870387214383,11815
Pirojpur,5766,2,2022,-3.232217734119416,-607.6015363867467,-673.0485955725097,298.11373049319025,5.05248237401496,5834
Bandarban,5767,2,2022,0.3884407305202579,3.201502360438268,0.7494217210514511,299.0817024859585,2.9944269846073994,20661
Brahamanbaria,5768,2,2022,0.3483592784247389,-1402.6058922471848,-1413.9195010904382,297.82784171431285,6.18278535904204,8842
Chandpur,5769,2,2022,-518.5715117010486,-1765.7493757478233,-1873.143218166783,296.94130157703194,4.149542644506656,7753
Chittagong,5770,2,2022,-37.20521391913854,-511.7028933268167,-518.944302074907,265.6674982129647,-19.74604455633404,19719
Comilla,5771,2,2022,0.3254163913286901,-131.0696591359809,-139.30346082711594,298.05159596088214,7.01927220647858,13842
Cox's Bazar,5772,2,2022,-1090.2236493504056,-1765.0731820755752,-1771.4917454754577,-947.9521584738291,-7.199336383042878,9666
Feni,5773,2,2022,-6.912951164575838,-96.68671044841601,-102.51297836006013,291.2130617605926,9.00096257657683,4102
Khagrachhari,5774,2,2022,0.3821853644327739,-13.257633651108991,-15.290508082386141,298.20771769529676,6.373808143564035,12826
Lakshmipur,5775,2,2022,-370.60412949024715,-1740.581417012636,-1883.8218904928626,253.32715907809,6.483866145771893,6600
Noakhali,5776,2,2022,-142.27677574198083,-578.794127901475,-797.3694809816238,143.96629124761893,-240.85079730394978,11412
Rangamati,5777,2,2022,-4.456609272444609,-619.7879292055567,-636.8710907600623,297.2962178879634,3.4389240342967136,25644
Dhaka,5778,2,2022,-16.45775352880492,-1393.2463071506265,-1398.37561387954,298.88899532914405,6.4590574008707575,6820
Faridpur,5779,2,2022,-1.0699962126337375,-1210.7575222288701,-1211.3629763520755,298.5055443184283,8.180165496622251,9324
Gazipur,5780,2,2022,0.2908490049003514,-178.67859123746527,-207.39837279673625,297.96422674227586,9.033219356039664,8062
Gopalganj,5781,2,2022,0.3160460389352987,-54.98944164170797,-151.30340873958235,298.0377249876434,6.310390498805395,6747
Jamalpur,5782,2,2022,0.23684085397793248,-547.5242531937712,-548.0030851339465,297.258677003204,10.104436021673997,9532
Kishoreganj,5783,2,2022,0.379594418903316,-3507.378903961845,-3512.29887443975,296.70778530672817,6.793663126574316,11716
Madaripur,5784,2,2022,-118.61352711050912,-938.5047983717177,-955.0144959955882,297.8896133319713,4.593384300117133,5340
Manikganj,5785,2,2022,-155.88733634011314,-1458.7881243563936,-1459.3146054401693,297.81824630120593,8.044288473890846,6437
Munshiganj,5786,2,2022,-109.94396152148376,-1550.6603456747755,-1602.3414886223795,297.4967878961576,4.299258841679315,4376
Mymensingh,5787,2,2022,0.24164734249069897,-44.152061222005415,-45.12137201051993,297.30920799562705,8.398788818912655,19761
Narayanganj,5788,2,2022,0.26626964086884325,-1076.080345463434,-1076.4781457261881,298.73048133551055,4.281231277736495,3573
Narsingdi,5789,2,2022,0.30949299716254663,-955.7667440691272,-985.7103545495664,297.95101580877486,6.181088852690597,5395
Netrakona,5790,2,2022,0.3044402189832685,-937.2912342507123,-943.4379833867948,296.91451807622957,6.891980853381328,12870
