Season,Rainfall,Temp_Mean,Temp_Max,Temp_Min,Heat_Stress_Days,Wind_Mean,Wind_Max,Wind_Min,District,Year,Temp_Range,Wind_Range,Rain_Temp_Ratio,Extreme_Heat_Risk,Is_Extreme_Heat
Kharif 2,1391.11,27.50455284552845,34.86,18.34,0,1.5408130081300817,5.49,0.03,Mymensingh,2022,16.52,5.46,50.58,Low Risk,0
Rabi,80.15,19.223333333333336,29.93,7.98,0,1.1035,4.02,0.01,Mymensingh,2022,21.95,4.01,4.17,Low Risk,0
Kharif 1,596.69,29.1905737704918,42.27,13.63,68,2.2068032786885245,6.02,0.07,Naogaon,2022,28.64,5.95,20.44,High Risk,1
Kharif 2,783.3,27.9830081300813,35.83,17.28,4,2.051056910569106,7.97,0.07,Naogaon,2022,18.55,7.9,27.99,Moderate Risk,0
Rabi,73.46000000000001,18.282833333333333,30.31,7.21,0,1.37525,6.18,0.09,Naogaon,2022,23.1,6.09,4.02,Low Risk,0
Kharif 1,1997.22,27.314098360655738,37.3,15.39,15,1.9249180327868851,6.08,0.13,Narail,2022,21.91,5.95,73.12,Moderate Risk,0
Kharif 2,1391.11,27.50455284552845,34.86,18.34,0,1.5408130081300817,5.49,0.03,Narail,2022,16.52,5.46,50.58,Low Risk,0
Rabi,80.15,19.223333333333336,29.93,7.98,0,1.1035,4.02,0.01,Narail,2022,21.95,4.01,4.17,Low Risk,0
Kharif 1,896.28,28.457131147540984,40.07,15.89,41,2.7607377049180326,6.78,0.13,Narayanganj,2022,24.18,6.65,31.49,High Risk,1
Kharif 2,1147.69,27.867154471544715,33.03,18.76,0,2.1950406504065043,7.91,0.03,Narayanganj,2022,14.27,7.88,41.18,Low Risk,0
Rabi,96.21,19.6385,30.15,9.31,0,1.3990833333333337,4.12,0.08,Narayanganj,2022,20.84,4.04,4.9,Low Risk,0
Kharif 1,1043.06,28.513934426229508,40.93,15.5,46,2.537540983606557,6.3,0.09,Narsingdi,2022,25.43,6.21,36.58,High Risk,1
Kharif 2,1137.55,27.810325203252034,33.68,18.24,0,1.9920325203252036,7.4,0.04,Narsingdi,2022,15.44,7.36,40.9,Low Risk,0
Rabi,82.23,19.61058333333333,30.39,8.94,0,1.2454166666666666,3.9,0.06,Narsingdi,2022,21.45,3.84,4.19,Low Risk,0
Kharif 1,471.39,29.696393442622952,42.83,14.55,72,2.339508196721312,6.74,0.09,Natore,2022,28.28,6.65,15.87,High Risk,1
Kharif 2,772.89,28.147723577235773,36.56,17.79,8,2.2247154471544714,8.45,0.03,Natore,2022,18.77,8.42,27.46,Moderate Risk,0
Rabi,75.78,18.654,30.4,7.51,0,1.4068333333333334,5.11,0.13,Natore,2022,22.89,4.98,4.06,Low Risk,0
Kharif 1,1997.22,27.314098360655738,37.3,15.39,15,1.9249180327868851,6.08,0.13,Netrokona,2022,21.91,5.95,73.12,Moderate Risk,0
Kharif 2,1391.11,27.50455284552845,34.86,18.34,0,1.5408130081300817,5.49,0.03,Netrokona,2022,16.52,5.46,50.58,Low Risk,0
Rabi,80.15,19.223333333333336,29.93,7.98,0,1.1035,4.02,0.01,Netrokona,2022,21.95,4.01,4.17,Low Risk,0
Kharif 1,1334.64,27.742622950819676,38.63,13.13,28,1.8755737704918032,7.13,0.01,Nilphamari,2022,25.5,7.12,48.11,High Risk,1
Kharif 2,1114.52,27.576422764227644,34.74,17.2,0,1.7053658536585363,6.02,0.02,Nilphamari,2022,17.54,6.0,40.41,Low Risk,0
Rabi,73.57000000000001,17.97491666666667,29.3,7.09,0,1.2875,7.48,0.03,Nilphamari,2022,22.21,7.45,4.09,Low Risk,0
Kharif 1,1243.4,28.06844262295082,32.74,18.65,0,4.176393442622951,8.21,0.16,Noakhali,2022,14.09,8.05,44.3,Low Risk,0
Kharif 2,1533.16,28.594471544715446,32.77,21.78,0,3.784227642276423,12.92,0.05,Noakhali,2022,10.99,12.87,53.62,Low Risk,0
Rabi,112.63,21.48633333333333,29.56,12.97,0,2.690583333333333,7.12,0.06,Noakhali,2022,16.59,7.06,5.24,Low Risk,0
