ADM2_NAME,ADM1_NAME,Month,Year,Salinity_Index_Raw
Bandarban,Chittagong,8,2022,546.4946290133378
Brahamanbaria,Chittagong,8,2022,846.9343359197958
Chandpur,Chittagong,8,2022,788.4573176167821
Chittagong,Chittagong,8,2022,727.0619650932776
Comilla,Chittagong,8,2022,755.8033437426234
Cox's Bazar,Chittagong,8,2022,720.7257841502102
Feni,Chittagong,8,2022,744.6555950826968
Khagrachhari,Chittagong,8,2022,539.9550715482391
Lakshmipur,Chittagong,8,2022,783.0249763057559
Noakhali,Chittagong,8,2022,743.801198854029
Rangamati,Chittagong,8,2022,591.123833564724
Dhaka,Dhaka,8,2022,931.3032444044097
Faridpur,Dhaka,8,2022,899.3502981963724
Gazipur,Dhaka,8,2022,961.1126407805483
Gopalganj,Dhaka,8,2022,710.89813624366
Jamalpur,Dhaka,8,2022,925.0197798930508
Kishoreganj,Dhaka,8,2022,1032.3388768975296
Madaripur,Dhaka,8,2022,770.8319095738401
Manikganj,Dhaka,8,2022,967.3585093674386
Munshiganj,Dhaka,8,2022,851.4943356565251
Mymensingh,Dhaka,8,2022,914.7376174682736
Narayanganj,Dhaka,8,2022,960.6090909786249
Narsingdi,Dhaka,8,2022,846.072014771995
Netrakona,Dhaka,8,2022,937.6051680718969
Rajbari,Dhaka,8,2022,903.5449597019457
Shariatpur,Dhaka,8,2022,790.0259811771474
Sherpur,Dhaka,8,2022,895.4728254092076
Tangail,Dhaka,8,2022,934.1104837170058
Bagerhat,Khulna,8,2022,548.5871931390504
Chuadanga,Khulna,8,2022,584.2913586190829
Jessore,Khulna,8,2022,748.0023093813088
Jhenaidah,Khulna,8,2022,692.6266294175031
Khulna,Khulna,8,2022,775.9495903207433
Kushtia,Khulna,8,2022,837.5835685091319
Magura,Khulna,8,2022,866.2334296255727
Meherpur,Khulna,8,2022,642.7541226183947
Narail,Khulna,8,2022,821.6148178119474
Satkhira,Khulna,8,2022,771.0872260758814
Habiganj,Sylhet,8,2022,905.2769325249387
Maulvibazar,Sylhet,8,2022,726.9263734496069
Sunamganj,Sylhet,8,2022,889.6117635012831
Sylhet,Sylhet,8,2022,833.6313586782874
Bogra,Rajshahi,8,2022,944.7879609836654
Joypurhat,Rajshahi,8,2022,991.3871110977705
Naogaon,Rajshahi,8,2022,845.0754449582031
Natore,Rajshahi,8,2022,901.5695543016218
Nawabganj,Rajshahi,8,2022,732.9818108151005
