ADM2_NAME,ADM2_CODE,Month,Year,EVI,LAI,FPAR,LST_Kelvin,Soil_Moisture_mm
Lalmonirhat,5810,5,2022,0.32717932654506604,1.2781883257785205,4.368343207750399,302.18859541894847,21.432444912897655
Nilphamari,5814,5,2022,0.29659882460664183,1.2136275427793062,4.261970954717423,301.8898818484191,21.601496944682943
Panchagarh,5816,5,2022,0.4379942320523353,1.9828740258530408,5.944482970925667,303.3721640647018,20.21181147292198
Rangpur,5818,5,2022,0.33299260638084993,1.4013182973377576,4.643386062270647,301.2663162155214,22.249455018789256
Thakurgaon,5820,5,2022,0.40443232001905444,1.5347631548091765,5.059608043144569,301.9829459084634,21.78874423907597
Barguna,5761,5,2022,0.3005134285231515,1.0313272421646253,3.9152597332176513,303.8456833126634,14.332835415385823
Barisal,5762,6,2022,0.2873673427504507,0.8969931313276168,2.962289317750556,300.37827194148906,21.15985829345996
Bhola,5763,6,2022,0.21917526994517572,0.8400835087765549,2.95765244987437,299.8798058228488,23.211200466423666
Jhalokati,5764,6,2022,0.35846400642511556,0.9722875156733358,3.4178721217771546,300.2732780785264,20.264542774644152
Patuakhali,5765,6,2022,0.25808893206605554,0.5971392134911916,2.532507722261736,301.223708333145,24.01973572172041
Pirojpur,5766,6,2022,0.3406693388881271,1.107468841523129,3.466912805191767,300.01756866469617,19.162898428087185
Bandarban,5767,6,2022,0.5341967015134732,2.3527249445329375,5.250429315863101,302.63339316472695,23.833913158299172
Brahamanbaria,5768,6,2022,0.177633020412405,0.49238285411020793,1.9107688052227785,300.95183575774615,24.560897163201446
Chandpur,5769,6,2022,0.2686651231095715,1.1434444489164117,3.190529908829387,300.30478943156896,22.70809585037631
Chittagong,5770,6,2022,0.38810266531602344,1.142157464105582,3.5250704490277176,301.9944953774063,23.623865416601017
Comilla,5771,6,2022,0.31768643034566924,0.7184154498511934,2.739168897248007,301.55846865777306,23.510272994041046
Cox's Bazar,5772,6,2022,0.33810702128610376,1.1840297175520664,3.423437488190396,300.77130967015415,23.8227926990566
Feni,5773,6,2022,0.3384811397825957,0.8289787071083189,3.2122520201754634,302.00197062037995,23.98573546139717
Khagrachhari,5774,6,2022,0.49266364252990563,1.6126712062619366,4.207389681642814,302.4980818719393,24.640343995501322
Lakshmipur,5775,6,2022,0.26860233216480933,1.3952049055971414,3.5787250519679845,301.5575685827971,22.91639606732947
Noakhali,5776,6,2022,0.26562597781319236,1.2345682783900394,3.0426511333002693,302.14353236025516,24.618390050943493
Rangamati,5777,6,2022,0.4958075162883624,2.2674618435334764,4.9501100715742385,300.8454929233857,24.742744043659393
Dhaka,5778,6,2022,0.2985770052655881,0.6087928592490557,2.4402238591196617,301.0690429034508,23.883751149084024
Faridpur,5779,6,2022,0.42634133244686345,0.9844200377944986,3.700396576758231,297.863531795427,20.494577364563536
Gazipur,5780,6,2022,0.3285490551668391,0.6387408087998875,2.2702774864019286,301.79645472699974,25.248024529872808
Gopalganj,5781,6,2022,0.3839064764007352,1.1756062235423121,3.6607523010225385,300.73780379430565,17.458135809030242
