Area,AP Ratio,District,Season,Avg Temp,Avg Humidity,Crop Name,Transplant,Growth,Harvest,Production,Max Temp,Min Temp,Max Relative Humidity,Min Relative Humidity,Rainfall,Temp_Mean,Temp_Max,Temp_Min,Heat_Stress_Days,Wind_Mean,Wind_Max,Wind_Min,Year,Temp_Range,Wind_Range,Rain_Temp_Ratio,Extreme_Heat_Risk,Is_Extreme_Heat
645472,1.078918993,Dinajpur,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,696412,40,12.0,60,85,881.89,27.738943089430894,34.58,17.61,0,1.9403252032520324,7.11,0.05,2022,16.97,7.06,31.79,Low Risk,0
191856,1.040175965,Faridpur,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,199564,40,12.0,60,85,1135.85,27.829837398373986,33.44,19.14,0,2.1730081300813007,8.05,0.09,2022,14.3,7.96,40.81,Low Risk,0
163129,1.202152897,Feni,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,196106,40,12.0,60,85,1338.61,27.65430894308944,33.89,17.96,0,1.9202439024390243,7.3,0.09,2022,15.93,7.21,48.4,Low Risk,0
293991,1.126656938,Gaibandha,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,331227,40,12.0,60,85,1091.34,27.750406504065044,34.86,18.48,0,1.954471544715448,6.82,0.07,2022,16.38,6.75,39.33,Low Risk,0
112432,1.185907927,Gazipur,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,133334,40,12.0,60,85,1137.55,27.810325203252034,33.68,18.24,0,1.992032520325204,7.4,0.04,2022,15.44,7.36,40.9,Low Risk,0
59993,0.7519377261,Gopalganj,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,45111,40,12.0,60,85,1238.15,27.71390243902439,33.63,18.56,0,2.1439024390243904,7.37,0.03,2022,15.07,7.34,44.67,Low Risk,0
245464,1.064665287,Habiganj,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,261337,40,12.0,60,85,1599.93,27.86235772357724,34.27,17.78,0,1.6316260162601626,5.52,0.05,2022,16.49,5.47,57.42,Low Risk,0
265787,0.9535003593,Jamalpur,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,253428,40,12.0,60,85,1091.34,27.750406504065044,34.86,18.48,0,1.954471544715448,6.82,0.07,2022,16.38,6.75,39.33,Low Risk,0
338887,1.14695459,Jashore,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,388688,40,12.0,60,85,1080.92,27.73634146341464,34.2,18.34,0,2.0617073170731706,7.47,0.15,2022,15.86,7.32,38.97,Low Risk,0
116665,0.7944799211,Jhallokati,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,92688,40,12.0,60,85,1451.65,27.76869918699187,33.57,18.56,0,2.063739837398374,7.47,0.04,2022,15.01,7.43,52.27,Low Risk,0
252930,1.369529119,Jhenaidah,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,346395,40,12.0,60,85,996.2,27.804227642276423,34.21,18.74,0,2.1582926829268296,7.83,0.11,2022,15.47,7.72,35.83,Low Risk,0
170726,1.137928611,Joypurhat,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,194274,40,12.0,60,85,783.3,27.9830081300813,35.83,17.28,4,2.051056910569106,7.97,0.07,2022,18.55,7.9,27.99,Moderate Risk,0
66694,1.304375206,Khagrachari,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,86994,40,12.0,60,85,1337.03,27.63536585365853,38.46,18.2,10,0.0971544715447154,0.86,0.0,2022,20.26,0.86,48.38,Moderate Risk,1
237461,1.120950388,Khulna,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,266182,40,12.0,60,85,1080.92,27.73634146341464,34.2,18.34,0,2.0617073170731706,7.47,0.15,2022,15.86,7.32,38.97,Low Risk,0
186328,1.158322957,Kishoreganj,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,215828,40,12.0,60,85,1317.39,27.771138211382112,34.22,17.91,0,1.7357723577235773,6.32,0.1,2022,16.31,6.22,47.44,Low Risk,0
283509,1.102067307,Kurigram,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,312446,40,12.0,60,85,993.02,27.780162601626017,34.92,17.93,0,1.8404878048780489,5.77,0.08,2022,16.99,5.69,35.74,Low Risk,0
225972,1.200374383,Kushtia,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,271251,40,12.0,60,85,984.86,27.91,34.38,19.25,0,2.2982113821138213,8.54,0.08,2022,15.13,8.46,35.29,Low Risk,0
185213,1.053263,Lakshmipur,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,195078,40,12.0,60,85,1311.38,27.853658536585368,32.95,19.15,0,2.389512195121952,7.82,0.03,2022,13.8,7.79,47.08,Low Risk,0
189950,1.141163464,Lalmonirhat,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,216764,40,12.0,60,85,993.02,27.780162601626017,34.92,17.93,0,1.8404878048780489,5.77,0.08,2022,16.99,5.69,35.74,Low Risk,0
40746,0.8303146321,Madaripur,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,33832,40,12.0,60,85,1238.15,27.71390243902439,33.63,18.56,0,2.1439024390243904,7.37,0.03,2022,15.07,7.34,44.67,Low Risk,0
143430,1.062643798,Magura,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,152415,40,12.0,60,85,996.2,27.804227642276423,34.21,18.74,0,2.1582926829268296,7.83,0.11,2022,15.47,7.72,35.83,Low Risk,0
19457,0.9198231999,Manikganj,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,17897,40,12.0,60,85,1117.67,27.83479674796748,33.61,18.75,0,2.1726016260162604,8.25,0.04,2022,14.86,8.21,40.15,Low Risk,0
82524,1.279203626,Meherpur,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,105565,40,12.0,60,85,762.83,28.1239837398374,36.28,18.19,9,2.270813008130081,8.43,0.04,2022,18.09,8.39,27.12,Moderate Risk,0
251081,1.180622986,Moulvibazar,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,296432,40,12.0,60,85,1626.4,27.889105691056912,35.28,17.48,2,1.23,5.03,0.02,2022,17.8,5.01,58.31,Moderate Risk,0
41822,0.3934053847,Munshiganj,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,16453,40,12.0,60,85,1147.69,27.867154471544715,33.03,18.76,0,2.1950406504065043,7.91,0.03,2022,14.27,7.88,41.18,Low Risk,0
663734,0.9711571202,Mymensingh,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,644590,40,12.0,60,85,1391.11,27.50455284552845,34.86,18.34,0,1.5408130081300817,5.49,0.03,2022,16.52,5.46,50.58,Low Risk,0
468054,1.082366565,Naogaon,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,506606,40,12.0,60,85,783.3,27.9830081300813,35.83,17.28,4,2.051056910569106,7.97,0.07,2022,18.55,7.9,27.99,Moderate Risk,0
85229,1.068098887,Narail,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,91033,40,12.0,60,85,1391.11,27.50455284552845,34.86,18.34,0,1.5408130081300817,5.49,0.03,2022,16.52,5.46,50.58,Low Risk,0
19756,0.5482385098,Narayanganj,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,10831,40,12.0,60,85,1147.69,27.867154471544715,33.03,18.76,0,2.1950406504065043,7.91,0.03,2022,14.27,7.88,41.18,Low Risk,0
97752,1.039313774,Narsingdi,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,101595,40,12.0,60,85,1137.55,27.810325203252034,33.68,18.24,0,1.992032520325204,7.4,0.04,2022,15.44,7.36,40.9,Low Risk,0
182696,1.119438849,Natore,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,204517,40,12.0,60,85,772.89,28.147723577235773,36.56,17.79,8,2.2247154471544714,8.45,0.03,2022,18.77,8.42,27.46,Moderate Risk,0
301949,1.091058424,Netrokona,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,329444,40,12.0,60,85,1391.11,27.50455284552845,34.86,18.34,0,1.5408130081300817,5.49,0.03,2022,16.52,5.46,50.58,Low Risk,0
279580,1.103355033,Nilphamari,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,308476,40,12.0,60,85,1114.52,27.576422764227644,34.74,17.2,0,1.7053658536585363,6.02,0.02,2022,17.54,6.0,40.41,Low Risk,0
382971,1.033623956,Noakhali,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,395848,40,12.0,60,85,1533.16,28.594471544715446,32.77,21.78,0,3.784227642276423,12.92,0.05,2022,10.99,12.87,53.62,Low Risk,0
221929,0.8668718374,Pabna,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,192384,40,12.0,60,85,984.86,27.91,34.38,19.25,0,2.2982113821138213,8.54,0.08,2022,15.13,8.46,35.29,Low Risk,0
246162,1.246549021,Panchagar,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,306853,40,12.0,60,85,1342.09,27.18967479674797,33.52,17.55,0,1.518130081300813,4.56,0.03,2022,15.97,4.53,49.36,Low Risk,0
431833,0.749345233,Patuakhali,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,323592,40,12.0,60,85,2272.77,28.43642276422764,31.57,21.83,0,3.5834959349593496,10.3,0.13,2022,9.74,10.17,79.92,Low Risk,0
155038,0.6449257601,Pirojpur,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,99988,40,12.0,60,85,1451.65,27.76869918699187,33.57,18.56,0,2.063739837398374,7.47,0.04,2022,15.01,7.43,52.27,Low Risk,0
117377,0.9136968912,Rajbari,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,107247,40,12.0,60,85,996.2,27.804227642276423,34.21,18.74,0,2.1582926829268296,7.83,0.11,2022,15.47,7.72,35.83,Low Risk,0
182555,1.273851716,Rajshahi,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,232548,40,12.0,60,85,772.89,28.147723577235773,36.56,17.79,8,2.2247154471544714,8.45,0.03,2022,18.77,8.42,27.46,Moderate Risk,0
23990,1.199041267,Rangamati,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,28765,40,12.0,60,85,1450.75,28.04821138211382,34.55,19.76,0,2.3628455284552845,11.27,0.03,2022,14.79,11.24,51.72,Low Risk,0
405055,1.092310921,Rangpur,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,442446,40,12.0,60,85,910.51,27.91861788617886,34.91,18.29,0,2.0784552845528457,6.67,0.1,2022,16.62,6.57,32.61,Low Risk,0
207744,1.108450786,Satkhira,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,230274,40,12.0,60,85,1252.47,27.811544715447155,33.81,18.59,0,1.6846341463414636,6.2,0.06,2022,15.22,6.14,45.03,Low Risk,0
