B,BLOCK,Cu,Cycle_Year,DISTRICT,DISTRICT_L,EC,Fe,Feature_ID,K,Mn,N,OC,P,S,STATE,STATE_LGD,Scan_Lat,Scan_Lon,TEHSIL,VILLAGE,Zn,pH
8.742,Badami,1.024,2015-17,Bagalkot,524,0.541,1.193,29_524_shc_2015-17.158,143.155,3.473,326.937,0.508,36.081,32.871,Karnataka,29,16.014000000000056,75.45799999999889,Badami,Chinchalakatti,6.946,8.018
0.572,Badami,0.446,2015-17,Bagalkot,524,0.822,0.569,29_524_shc_2015-17.303,431.156,2.173,216.718,0.715,50.056,12.437,Karnataka,29,16.014000000000056,75.71599999999829,Badami,Hansanoor,0.979,7.986
0.642,Badami,1.187,2015-17,Bagalkot,524,0.319,2.689,29_524_shc_2015-17.290,295.993,8.825,577.355,4.42,43.627,25.158,Karnataka,29,16.016000000000055,75.68599999999836,Badami,Bedarabudihal,0.639,7.55
0.401,Badami,0.521,2015-17,Bagalkot,524,0.332,0.748,29_524_shc_2015-17.243,348.88,2.99,276.261,0.381,72.441,21.184,Karnataka,29,16.020000000000053,75.60399999999855,Badami,Maninagar,1.237,7.817
2.53,Hungund,0.41,2015-17,Bagalkot,524,0.12,1.15,29_524_shc_2015-17.440,364.3,11.29,309.54,0.54,2.18,15.0,Karnataka,29,16.020000000000053,76.0119999999976,Hungund,Yadahalli,0.87,7.8
0.355,Badami,0.813,2015-17,Bagalkot,524,0.321,0.674,29_524_shc_2015-17.206,332.756,2.524,328.589,0.742,,18.202,Karnataka,29,16.02200000000005,75.53399999999871,Badami,Kerur (Rural),0.617,11.528
0.347,Badami,0.356,2015-17,Bagalkot,524,0.337,1.579,29_524_shc_2015-17.141,296.345,1.897,686.15,0.403,28.731,18.936,Karnataka,29,16.02200000000005,75.43199999999895,Badami,Bellikindi,0.429,7.038
0.377,Hungund,0.671,2015-17,Bagalkot,524,0.244,0.47,29_524_shc_2015-17.511,385.885,2.112,449.757,0.564,148.388,14.869,Karnataka,29,16.02200000000005,76.1859999999972,Hungund,Gadisunkapur,0.236,8.276
0.524,Hungund,0.294,2015-17,Bagalkot,524,0.419,1.154,29_524_shc_2015-17.363,460.853,2.264,296.121,0.481,50.007,11.666,Karnataka,29,16.030000000000047,75.85399999999797,Hungund,Nimbalgundi,0.219,7.998
0.342,Hungund,0.396,2015-17,Bagalkot,524,0.424,0.525,29_524_shc_2015-17.429,502.865,1.528,427.344,0.482,38.726,6.129,Karnataka,29,16.030000000000047,75.98799999999765,Hungund,Honnarahalli,0.216,8.151
2.366,Badami,0.68,2015-17,Bagalkot,524,0.498,0.702,29_524_shc_2015-17.239,68.952,2.069,732.077,0.535,34.11,31.136,Karnataka,29,16.032000000000046,75.59399999999857,Badami,Yankanchi,0.856,7.987
0.458,Hungund,0.584,2015-17,Bagalkot,524,0.217,1.311,29_524_shc_2015-17.367,374.107,3.329,531.624,0.841,34.73,28.398,Karnataka,29,16.034000000000045,75.86199999999795,Hungund,Kalligudda,1.237,8.002
0.7,Hungund,0.524,2015-17,Bagalkot,524,0.436,0.902,29_524_shc_2015-17.461,405.113,3.136,698.38,2.36,34.12,13.181,Karnataka,29,16.034000000000045,76.06399999999748,Hungund,Hungund (Rural),0.376,8.132
0.987,Hungund,2.038,2015-17,Bagalkot,524,0.283,0.408,29_524_shc_2015-17.455,335.656,1.305,302.251,0.529,23.236,6.947,Karnataka,29,16.034000000000045,76.04199999999753,Hungund,Virapur,0.194,8.432
0.508,Badami,0.785,2015-17,Bagalkot,524,1.234,1.009,29_524_shc_2015-17.318,437.861,3.8,305.471,0.502,47.264,17.851,Karnataka,29,16.036000000000044,75.7519999999982,Badami,Murudi,0.792,11.348
1.641,Hungund,0.974,2015-17,Bagalkot,524,0.424,1.851,29_524_shc_2015-17.484,211.291,3.842,792.151,7.256,39.925,21.899,Karnataka,29,16.036000000000044,76.13599999999731,Hungund,Hirehunakunti,2.054,8.478
0.5,Badami,1.174,2015-17,Bagalkot,524,0.16,2.853,29_524_shc_2015-17.170,406.2,4.323,597.481,0.384,33.003,15.733,Karnataka,29,16.040000000000042,75.47599999999885,Badami,Saganur,0.448,6.744
